Order Id;Shipping Mode;Delivery Status;Late_delivery_risk;Days for shipping (real);Days for shipment (scheduled);shipping date (DateOrders)
42353;Standard Class;Shipping on time;0;4;4;9/14/2016 5:47
42134;Standard Class;Late delivery;1;5;4;9/12/2016 1:04
21522;Standard Class;Advance shipping;0;3;4;11/14/2015 3:45
23767;Standard Class;Advance shipping;0;3;4;12/16/2015 22:17
25433;Standard Class;Shipping on time;0;4;4;1/11/2016 5:57
73893;Standard Class;Shipping on time;0;4;4;12/18/2017 15:39
30085;Standard Class;Late delivery;1;6;4;3/21/2016 3:45
30172;Standard Class;Advance shipping;0;3;4;3/19/2016 10:14
27478;Standard Class;Shipping on time;0;4;4;2/10/2016 2:25
76976;Standard Class;Advance shipping;0;2;4;1/30/2018 15:46
24063;Standard Class;Shipping on time;0;4;4;12/22/2015 5:59
51209;Standard Class;Late delivery;1;5;4;1/22/2017 12:26
73839;Standard Class;Late delivery;1;5;4;12/18/2017 20:44
74723;Standard Class;Shipping on time;0;4;4;12/30/2017 18:26
26821;Standard Class;Advance shipping;0;2;4;1/29/2016 12:14
77102;Standard Class;Advance shipping;0;3;4;2/2/2018 11:54
41608;Standard Class;Shipping on time;0;4;4;9/3/2016 8:47
47009;Standard Class;Late delivery;1;5;4;11/22/2016 4:59
49916;Standard Class;Advance shipping;0;2;4;12/31/2016 15:26
29746;Standard Class;Advance shipping;0;2;4;3/12/2016 4:59
72533;Standard Class;Shipping on time;0;4;4;11/28/2017 19:11
48608;Standard Class;Shipping on time;0;4;4;12/14/2016 13:11
45506;Standard Class;Advance shipping;0;2;4;10/28/2016 6:25
45027;Standard Class;Advance shipping;0;3;4;10/22/2016 6:36
46308;Standard Class;Shipping on time;0;4;4;11/10/2016 23:24
43685;Standard Class;Late delivery;1;6;4;10/5/2016 16:27
41893;Standard Class;Shipping on time;0;4;4;9/7/2016 12:38
46339;Standard Class;Late delivery;1;5;4;11/12/2016 10:15
46667;Standard Class;Advance shipping;0;3;4;11/15/2016 5:10
47647;Standard Class;Advance shipping;0;3;4;11/29/2016 12:30
48565;Standard Class;Late delivery;1;6;4;12/15/2016 22:07
43889;Standard Class;Late delivery;1;5;4;10/7/2016 15:55
45138;Standard Class;Shipping on time;0;4;4;10/24/2016 21:30
44160;Standard Class;Late delivery;1;6;4;10/12/2016 14:51
49214;Standard Class;Late delivery;1;5;4;12/24/2016 9:30
41825;Standard Class;Late delivery;1;6;4;9/8/2016 12:48
44504;Standard Class;Late delivery;1;5;4;10/16/2016 15:22
44496;Standard Class;Advance shipping;0;2;4;10/13/2016 12:34
45559;Standard Class;Late delivery;1;5;4;11/1/2016 0:59
44074;Standard Class;Late delivery;1;5;4;10/10/2016 8:44
49857;Standard Class;Advance shipping;0;3;4;12/31/2016 18:46
41786;Standard Class;Advance shipping;0;2;4;9/3/2016 23:08
48042;Standard Class;Advance shipping;0;3;4;12/5/2016 6:54
44301;Standard Class;Advance shipping;0;2;4;10/10/2016 16:15
41591;Standard Class;Advance shipping;0;2;4;9/1/2016 2:49
44981;Standard Class;Advance shipping;0;2;4;10/20/2016 14:29
41545;Standard Class;Late delivery;1;6;4;9/4/2016 10:42
49910;Standard Class;Late delivery;1;6;4;1/4/2017 13:20
19590;Standard Class;Late delivery;1;6;4;10/19/2015 22:53
43650;Standard Class;Late delivery;1;6;4;10/5/2016 4:11
15202;Standard Class;Advance shipping;0;3;4;8/13/2015 21:35
15462;Standard Class;Advance shipping;0;3;4;8/17/2015 16:40
15155;Standard Class;Late delivery;1;6;4;8/16/2015 5:07
64451;Standard Class;Advance shipping;0;2;4;7/31/2017 19:42
67028;Standard Class;Shipping on time;0;4;4;9/9/2017 10:32
62336;Standard Class;Advance shipping;0;2;4;6/30/2017 22:43
11334;Standard Class;Late delivery;1;5;4;6/20/2015 10:27
62885;Standard Class;Late delivery;1;6;4;7/12/2017 23:03
66998;Standard Class;Shipping on time;0;4;4;9/9/2017 0:02
47002;Standard Class;Advance shipping;0;3;4;11/20/2016 2:32
63445;Standard Class;Late delivery;1;6;4;7/21/2017 3:15
67566;Standard Class;Advance shipping;0;2;4;9/15/2017 7:01
18884;Standard Class;Late delivery;1;5;4;10/8/2015 15:33
18845;Standard Class;Late delivery;1;6;4;10/9/2015 1:53
66854;Standard Class;Late delivery;1;5;4;9/7/2017 21:35
46955;Standard Class;Late delivery;1;6;4;11/22/2016 10:04
55002;Standard Class;Advance shipping;0;3;4;3/16/2017 21:18
60445;Standard Class;Late delivery;1;6;4;6/7/2017 8:13
53586;Standard Class;Advance shipping;0;2;4;2/23/2017 5:12
56618;Standard Class;Shipping on time;0;4;4;4/10/2017 11:27
51865;Standard Class;Late delivery;1;6;4;2/2/2017 2:16
2937;Standard Class;Advance shipping;0;3;4;2/15/2015 20:36
54446;Standard Class;Advance shipping;0;2;4;3/7/2017 18:30
58623;Standard Class;Shipping on time;0;4;4;5/9/2017 17:53
7411;Standard Class;Advance shipping;0;2;4;4/21/2015 4:03
5348;Standard Class;Shipping on time;0;4;4;3/24/2015 1:17
59742;Standard Class;Advance shipping;0;3;4;5/25/2017 1:56
59498;Standard Class;Shipping on time;0;4;4;5/22/2017 12:26
3459;Standard Class;Late delivery;1;5;4;2/25/2015 11:29
8470;Standard Class;Late delivery;1;6;4;5/10/2015 15:04
53455;Standard Class;Late delivery;1;6;4;2/25/2017 7:19
2014;Standard Class;Late delivery;1;5;4;2/4/2015 9:14
55899;Standard Class;Late delivery;1;5;4;3/31/2017 23:33
52582;Standard Class;Advance shipping;0;3;4;2/9/2017 13:27
56222;Standard Class;Advance shipping;0;3;4;4/3/2017 16:43
57829;Standard Class;Late delivery;1;5;4;4/29/2017 3:43
56217;Standard Class;Advance shipping;0;3;4;4/3/2017 14:58
5893;Standard Class;Shipping on time;0;4;4;4/1/2015 0:13
5528;Standard Class;Shipping on time;0;4;4;3/26/2015 16:21
367;Standard Class;Advance shipping;0;3;4;1/9/2015 8:13
52353;Standard Class;Shipping on time;0;4;4;2/7/2017 5:14
1784;Standard Class;Late delivery;1;5;4;2/1/2015 0:39
60317;Standard Class;Advance shipping;0;3;4;6/2/2017 11:22
6776;Standard Class;Advance shipping;0;2;4;4/11/2015 21:35
4487;Standard Class;Advance shipping;0;3;4;3/10/2015 11:38
9681;Standard Class;Advance shipping;0;2;4;5/24/2015 7:20
60868;Standard Class;Shipping on time;0;4;4;6/11/2017 12:25
53231;Standard Class;Advance shipping;0;2;4;2/18/2017 0:50
52601;Standard Class;Advance shipping;0;2;4;2/8/2017 20:07
4660;Standard Class;Late delivery;1;6;4;3/16/2015 0:15
3539;Standard Class;Late delivery;1;5;4;2/26/2015 15:31
54488;Standard Class;Shipping on time;0;4;4;3/10/2017 9:13
52549;Standard Class;Late delivery;1;5;4;2/11/2017 1:54
60361;Standard Class;Advance shipping;0;2;4;6/2/2017 2:47
5712;Standard Class;Advance shipping;0;3;4;3/28/2015 8:49
9309;Standard Class;Late delivery;1;5;4;5/21/2015 21:00
8095;Standard Class;Late delivery;1;6;4;5/5/2015 3:41
75892;Standard Class;Advance shipping;0;3;4;1/15/2018 19:59
75891;Standard Class;Advance shipping;0;2;4;1/14/2018 19:38
75890;Second Class;Late delivery;1;6;2;1/18/2018 19:17
75889;Standard Class;Late delivery;1;5;4;1/17/2018 18:56
75888;Standard Class;Shipping on time;0;4;4;1/16/2018 18:35
75887;Standard Class;Advance shipping;0;3;4;1/15/2018 18:14
75886;Standard Class;Shipping canceled;0;2;4;1/14/2018 17:53
75885;Second Class;Late delivery;1;6;2;1/18/2018 17:32
75884;Standard Class;Late delivery;1;5;4;1/17/2018 17:11
75883;First Class;Late delivery;1;2;1;1/14/2018 16:50
75882;Standard Class;Advance shipping;0;3;4;1/15/2018 16:29
75881;Standard Class;Advance shipping;0;2;4;1/14/2018 16:08
75880;Standard Class;Late delivery;1;6;4;1/18/2018 15:47
75879;Standard Class;Late delivery;1;5;4;1/17/2018 15:26
75878;Standard Class;Shipping on time;0;4;4;1/16/2018 15:05
75877;Standard Class;Advance shipping;0;3;4;1/15/2018 14:44
75876;Standard Class;Advance shipping;0;2;4;1/14/2018 14:23
75875;Second Class;Late delivery;1;6;2;1/18/2018 14:02
75874;Standard Class;Late delivery;1;5;4;1/17/2018 13:41
75873;Standard Class;Shipping on time;0;4;4;1/16/2018 13:20
75872;Standard Class;Advance shipping;0;3;4;1/15/2018 12:59
75871;First Class;Late delivery;1;2;1;1/14/2018 12:38
75870;First Class;Late delivery;1;2;1;1/14/2018 12:17
75869;First Class;Late delivery;1;2;1;1/14/2018 11:56
75868;First Class;Late delivery;1;2;1;1/14/2018 11:35
75867;Same Day;Shipping on time;0;0;0;1/12/2018 23:14
75866;Same Day;Shipping on time;0;0;0;1/12/2018 22:53
75865;Same Day;Shipping on time;0;0;0;1/12/2018 22:32
75864;Standard Class;Late delivery;1;5;4;1/17/2018 10:11
75863;Standard Class;Shipping on time;0;4;4;1/16/2018 9:50
75862;Standard Class;Advance shipping;0;3;4;1/15/2018 9:29
75861;Standard Class;Advance shipping;0;2;4;1/14/2018 9:08
75860;Standard Class;Late delivery;1;6;4;1/18/2018 8:47
75859;Standard Class;Shipping canceled;0;5;4;1/17/2018 8:26
75858;Second Class;Late delivery;1;4;2;1/16/2018 8:05
75857;Standard Class;Advance shipping;0;3;4;1/15/2018 7:44
75856;Second Class;Shipping on time;0;2;2;1/14/2018 7:23
75855;First Class;Late delivery;1;2;1;1/14/2018 7:02
75854;Second Class;Late delivery;1;5;2;1/17/2018 6:41
75853;Second Class;Late delivery;1;4;2;1/16/2018 6:20
75852;Standard Class;Advance shipping;0;3;4;1/15/2018 5:59
75851;Standard Class;Advance shipping;0;2;4;1/14/2018 5:38
75850;Standard Class;Late delivery;1;6;4;1/18/2018 5:16
75849;Standard Class;Late delivery;1;5;4;1/17/2018 4:55
75848;Second Class;Late delivery;1;4;2;1/16/2018 4:34
75847;Second Class;Shipping canceled;0;3;2;1/15/2018 4:13
75846;Standard Class;Advance shipping;0;2;4;1/14/2018 3:52
75845;Standard Class;Late delivery;1;6;4;1/18/2018 3:31
75844;Standard Class;Late delivery;1;5;4;1/17/2018 3:10
75843;Second Class;Late delivery;1;4;2;1/16/2018 2:49
75842;Standard Class;Advance shipping;0;3;4;1/15/2018 2:28
75841;Standard Class;Advance shipping;0;2;4;1/14/2018 2:07
75840;Second Class;Late delivery;1;6;2;1/18/2018 1:46
75839;Second Class;Late delivery;1;5;2;1/17/2018 1:25
75838;First Class;Late delivery;1;2;1;1/14/2018 1:04
75837;First Class;Late delivery;1;2;1;1/14/2018 0:43
75836;Second Class;Shipping on time;0;2;2;1/14/2018 0:22
75835;Second Class;Late delivery;1;6;2;1/18/2018 0:01
75834;Second Class;Late delivery;1;5;2;1/16/2018 23:40
75833;First Class;Late delivery;1;2;1;1/13/2018 23:19
75832;First Class;Late delivery;1;2;1;1/13/2018 22:58
75831;First Class;Late delivery;1;2;1;1/13/2018 22:37
75830;Standard Class;Late delivery;1;6;4;1/17/2018 22:16
75829;Standard Class;Late delivery;1;5;4;1/16/2018 21:55
75828;Standard Class;Shipping on time;0;4;4;1/15/2018 21:34
75827;Standard Class;Advance shipping;0;3;4;1/14/2018 21:13
75826;Standard Class;Advance shipping;0;2;4;1/13/2018 20:52
75825;Standard Class;Late delivery;1;6;4;1/17/2018 20:31
75824;Standard Class;Late delivery;1;5;4;1/16/2018 20:10
75823;Standard Class;Shipping on time;0;4;4;1/15/2018 19:49
75822;Standard Class;Advance shipping;0;3;4;1/14/2018 19:28
75821;Standard Class;Advance shipping;0;2;4;1/13/2018 19:07
75820;Standard Class;Late delivery;1;6;4;1/17/2018 18:46
75819;Standard Class;Late delivery;1;5;4;1/16/2018 18:25
75818;Standard Class;Shipping on time;0;4;4;1/15/2018 18:04
75817;Standard Class;Advance shipping;0;3;4;1/14/2018 17:43
75816;Standard Class;Advance shipping;0;2;4;1/13/2018 17:22
75815;Standard Class;Late delivery;1;6;4;1/17/2018 17:01
75814;Standard Class;Late delivery;1;5;4;1/16/2018 16:40
75813;Second Class;Late delivery;1;4;2;1/15/2018 16:19
75812;Second Class;Late delivery;1;3;2;1/14/2018 15:58
75811;First Class;Late delivery;1;2;1;1/13/2018 15:37
75810;Second Class;Late delivery;1;6;2;1/17/2018 15:16
75809;Second Class;Late delivery;1;5;2;1/16/2018 14:55
75808;Second Class;Late delivery;1;4;2;1/15/2018 14:34
75807;Same Day;Late delivery;1;1;0;1/12/2018 2:13
75806;Same Day;Late delivery;1;1;0;1/12/2018 1:52
75805;Same Day;Late delivery;1;1;0;1/12/2018 1:31
75804;Same Day;Late delivery;1;1;0;1/12/2018 1:10
75803;Same Day;Late delivery;1;1;0;1/12/2018 0:49
